模型,MAE,RMSE,WAPE(%),MAPE(%),sMAPE(%),尖峰MAE,R2,MAE_std,窗口数,耗时(s),MAE↓%,RMSE↓%,WAPE(%)↓%,MAPE(%)↓%,sMAPE(%)↓%,尖峰MAE↓%
持久性 (t-1),1.2375,2.5997,26.3721,69.5426,40.2973,2.0152,0.8062,1.4108,30,0.0007,26.2638,10.9327,26.2638,37.1233,15.5204,29.6690
季节朴素 (t-24),1.8079,4.0445,38.5276,77.9530,40.2191,3.2020,0.5311,2.4827,30,0.0004,-7.7228,-38.5651,-7.7228,29.5191,15.6843,-11.7505
LSTM,1.6783,2.9188,35.7655,110.6015,47.7006,2.8653,0.7558,1.5860,30,0.9395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
XGBoost (递归多步),1.6693,2.8845,35.5738,114.8452,46.2448,2.2003,0.7615,1.7934,30,8.3375,0.5360,1.1769,0.5360,-3.8370,3.0518,23.2083
XGBoost (直接多步),1.6041,2.8470,34.1841,93.3218,43.4569,3.4068,0.7676,1.7384,30,1.4859,4.4216,2.4630,4.4216,15.6234,8.8965,-18.9006
ARIMA,1.2983,2.4511,27.6674,65.5341,39.7750,2.5265,0.8278,1.4040,30,281.7774,22.6422,16.0264,22.6422,40.7476,16.6154,11.8231
